County,city,per_capita,median,population
Abbeville,ABBEVILLE,"$16,653 ","$33,143 ","25,417"
Abbeville,SHOALS JUNCTION,"$16,653 ","$33,143 ","25,417"
Abbeville,DONALDS,"$16,653 ","$33,143 ","25,417"
Abbeville,DUE WEST,"$16,653 ","$33,143 ","25,417"
Abbeville,CALHOUN FALLS,"$16,653 ","$33,143 ","25,417"
Abbeville,LOWNDESVILLE,"$16,653 ","$33,143 ","25,417"
Aiken,LANGLEY,"$24,172 ","$44,468 ","160,099"
Aiken,BELVEDERE,"$24,172 ","$44,468 ","160,099"
Aiken,NORTH AUGUSTA,"$24,172 ","$44,468 ","160,099"
Aiken,JACKSON,"$24,172 ","$44,468 ","160,099"
Aiken,CLEARWATER,"$24,172 ","$44,468 ","160,099"
Aiken,AIKEN,"$24,172 ","$44,468 ","160,099"
Aiken,VAUCLUSE,"$24,172 ","$44,468 ","160,099"
Aiken,GLOVERVILLE,"$24,172 ","$44,468 ","160,099"
Aiken,BEECH ISLAND,"$24,172 ","$44,468 ","160,099"
Aiken,WARRENVILLE,"$24,172 ","$44,468 ","160,099"
Aiken,SALLEY,"$24,172 ","$44,468 ","160,099"
Aiken,PERRY,"$24,172 ","$44,468 ","160,099"
Aiken,BATH,"$24,172 ","$44,468 ","160,099"
Aiken,WAGENER,"$24,172 ","$44,468 ","160,099"
Aiken,NEW ELLENTON,"$24,172 ","$44,468 ","160,099"
Aiken,MONTMORENCI,"$24,172 ","$44,468 ","160,099"
Aiken,WINDSOR,"$24,172 ","$44,468 ","160,099"
Aiken,GRANITEVILLE,"$24,172 ","$44,468 ","160,099"
Aiken,SUMMERALL,"$24,172 ","$44,468 ","160,099"
Allendale,MARTIN,"$14,190 ","$20,081 ","10,419"
Allendale,ALLENDALE,"$14,190 ","$20,081 ","10,419"
Allendale,ULMER,"$14,190 ","$20,081 ","10,419"
Allendale,SYCAMORE,"$14,190 ","$20,081 ","10,419"
Allendale,FAIRFAX,"$14,190 ","$20,081 ","10,419"
Anderson,IVA,"$22,117 ","$42,871 ","187,126"
Anderson,SOUTH ANDERSON,"$22,117 ","$42,871 ","187,126"
Anderson,SANDY SPRINGS,"$22,117 ","$42,871 ","187,126"
Anderson,WILLIAMSTON,"$22,117 ","$42,871 ","187,126"
Anderson,BELTON,"$22,117 ","$42,871 ","187,126"
Anderson,ANDERSON,"$22,117 ","$42,871 ","187,126"
Anderson,NORTH ANDERSON,"$22,117 ","$42,871 ","187,126"
Anderson,PELZER,"$22,117 ","$42,871 ","187,126"
Anderson,PRINCETON,"$22,117 ","$42,871 ","187,126"
Anderson,TOWNVILLE,"$22,117 ","$42,871 ","187,126"
Anderson,LA FRANCE,"$22,117 ","$42,871 ","187,126"
Anderson,HONEA PATH,"$22,117 ","$42,871 ","187,126"
Anderson,STARR,"$22,117 ","$42,871 ","187,126"
Anderson,PENDLETON,"$22,117 ","$42,871 ","187,126"
Bamberg,EHRHARDT,"$16,236 ","$32,538 ","15,987"
Bamberg,BAMBERG,"$16,236 ","$32,538 ","15,987"
Bamberg,OLAR,"$16,236 ","$32,538 ","15,987"
Bamberg,DENMARK,"$16,236 ","$32,538 ","15,987"
Barnwell,HILDA,"$17,592 ","$33,816 ","22,621"
Barnwell,BARNWELL,"$17,592 ","$33,816 ","22,621"
