zip,county
29001,Clarendon
29002,Richland
29003,Bamberg
29006,Lexington
29009,Kershaw
29010,Lee
29014,Chester
29015,Fairfield
29016,Richland
29018,Orangeburg
29020,Kershaw
29021,Kershaw
29030,Calhoun
29031,Union
29032,Kershaw
29033,Lexington
29036,Lexington
29037,Newberry
29038,Orangeburg
29039,Orangeburg
29040,Sumter
29041,Clarendon
29042,Bamberg
29044,Richland
29045,Kershaw
29046,Lee
29047,Orangeburg
29048,Orangeburg
29051,Clarendon
29052,Richland
29053,Lexington
29054,Lexington
29055,Chester
29056,Williamsburg
29058,Lancaster
29059,Orangeburg
29061,Richland
29062,Sumter
29063,Richland
29065,Fairfield
29067,Lancaster
29069,Darlington
29070,Lexington
29071,Lexington
29072,Lexington
29073,Lexington
29074,Kershaw
29075,Newberry
29078,Kershaw
29079,Darlington
29080,Lee
29081,Bamberg
29082,Colleton
29101,Chesterfield
29102,Clarendon
29104,Sumter
29105,Aiken
29107,Orangeburg
29108,Newberry
29111,Clarendon
29112,Orangeburg
29113,Orangeburg
29114,Florence
29115,Orangeburg
29116,Orangeburg
29117,Orangeburg
29118,Orangeburg
29122,Newberry
29123,Lexington
29125,Sumter
29126,Newberry
29127,Newberry
29128,Sumter
29129,Saluda
29130,Fairfield
29132,Fairfield
29133,Orangeburg
29135,Calhoun
29137,Aiken
29138,Saluda
29142,Orangeburg
29143,Clarendon
29145,Newberry
29146,Orangeburg
29147,Richland
29148,Clarendon
29150,Sumter
29151,Sumter
29152,Sumter
29153,Sumter
29154,Sumter
29160,Lexington
29161,Florence
29162,Clarendon
29163,Orangeburg
29164,Aiken
29166,Saluda
29168,Sumter
29169,Lexington
29170,Lexington
29171,Lexington
29172,Lexington
29175,Kershaw
29177,Richland
29178,Newberry
29180,Fairfield
29201,Richland
29202,Richland
29203,Richland
29204,Richland
29205,Richland
29206,Richland
29207,Richland
29208,Richland
29209,Richland
29210,Richland
29211,Richland
29212,Lexington
29214,Richland
29215,Richland
29216,Richland
29217,Richland
29218,Richland
29219,Richland
29220,Richland
29221,Richland
29222,Richland
29223,Richland
29224,Richland
29225,Richland
29226,Richland
29227,Richland
29228,Lexington
29229,Richland
29230,Richland
29240,Richland
29250,Richland
29260,Richland
29290,Richland
29292,Richland
29301,Spartanburg
29302,Spartanburg
29303,Spartanburg
29304,Spartanburg
29305,Spartanburg
29306,Spartanburg
29307,Spartanburg
29316,Spartanburg
29318,Spartanburg
29319,Spartanburg
29320,Spartanburg
29321,Union
29322,Spartanburg
29323,Spartanburg
29324,Spartanburg
29325,Laurens
29329,Spartanburg
29330,Spartanburg
29331,Spartanburg
29332,Laurens
29333,Spartanburg
29334,Spartanburg
29335,Spartanburg
29336,Spartanburg
29338,Spartanburg
29340,Cherokee
29341,Cherokee
29342,Cherokee
29346,Spartanburg
29348,Spartanburg
29349,Spartanburg
29351,Laurens
29353,Union
29355,Newberry
29356,Spartanburg
29360,Laurens
29364,Union
29365,Spartanburg
29368,Spartanburg
29369,Spartanburg
29370,Laurens
29372,Spartanburg
29373,Spartanburg
29374,Spartanburg
29375,Spartanburg
29376,Spartanburg
29377,Spartanburg
29378,Spartanburg
29379,Union
29384,Laurens
29385,Spartanburg
29386,Spartanburg
29388,Spartanburg
29390,Spartanburg
29391,Spartanburg
29395,Union
29401,Charleston
29402,Charleston
29403,Charleston
29404,Charleston
29405,Charleston
29406,Charleston
29407,Charleston
29409,Charleston
29410,Berkeley
29412,Charleston
29413,Charleston
29414,Charleston
29415,Charleston
29416,Charleston
29417,Charleston
29418,Charleston
29419,Charleston
29420,Dorchester
29422,Charleston
29423,Charleston
29424,Charleston
29425,Charleston
29426,Charleston
29429,Charleston
29430,Berkeley
29431,Berkeley
29432,Orangeburg
29433,Colleton
29434,Berkeley
29435,Colleton
29436,Berkeley
29437,Dorchester
29438,Colleton
29439,Charleston
29440,Georgetown
29442,Georgetown
29445,Berkeley
29446,Colleton
29447,Dorchester
29448,Dorchester
29449,Charleston
29450,Berkeley
29451,Charleston
29452,Colleton
29453,Berkeley
29455,Charleston
29456,Berkeley
29457,Charleston
29458,Charleston
29461,Berkeley
29464,Charleston
29465,Charleston
29466,Charleston
29468,Berkeley
29469,Berkeley
29470,Charleston
29471,Dorchester
29472,Dorchester
29474,Colleton
29475,Colleton
29476,Berkeley
29477,Dorchester
29479,Berkeley
29481,Colleton
29482,Charleston
29483,Dorchester
29484,Dorchester
29485,Dorchester
29487,Charleston
29488,Colleton
29492,Berkeley
29493,Colleton
29501,Florence
29502,Florence
29503,Florence
29504,Florence
29505,Florence
29506,Florence
29510,Georgetown
29511,Horry
29512,Marlboro
29516,Marlboro
29518,Williamsburg
29519,Marion
29520,Chesterfield
29525,Marlboro
29526,Horry
29527,Horry
29528,Horry
29530,Florence
29532,Darlington
29536,Dillon
29540,Darlington
29541,Florence
29542,Dillon
29543,Dillon
29544,Horry
29545,Horry
29546,Marion
29547,Dillon
29550,Darlington
29551,Darlington
29554,Williamsburg
29555,Florence
29556,Williamsburg
29560,Florence
29563,Dillon
29564,Williamsburg
29565,Dillon
29566,Horry
29567,Dillon
29568,Horry
29569,Horry
29570,Marlboro
29571,Marion
29572,Horry
29573,Dillon
29574,Marion
29575,Horry
29576,Horry
29577,Horry
29578,Horry
29579,Horry
29580,Williamsburg
29581,Horry
29582,Horry
29583,Florence
29584,Chesterfield
29585,Georgetown
29587,Horry
29588,Horry
29589,Marion
29590,Williamsburg
29591,Florence
29592,Marion
29593,Darlington
29594,Marlboro
29596,Marlboro
29597,Horry
29598,Horry
29601,Greenville
29602,Greenville
29603,Greenville
29604,Greenville
29605,Greenville
29606,Greenville
29607,Greenville
29608,Greenville
29609,Greenville
29610,Greenville
29611,Greenville
29612,Greenville
29613,Greenville
29614,Greenville
29615,Greenville
29616,Greenville
29617,Greenville
29620,Abbeville
29621,Anderson
29622,Anderson
29623,Anderson
29624,Anderson
29625,Anderson
29626,Anderson
29627,Anderson
29628,Abbeville
29630,Pickens
29631,Pickens
29632,Pickens
29633,Pickens
29634,Pickens
29635,Greenville
29636,Greenville
29638,Abbeville
29639,Abbeville
29640,Pickens
29641,Pickens
29642,Pickens
29643,Oconee
29644,Greenville
29645,Laurens
29646,Greenwood
29647,Greenwood
29648,Greenwood
29649,Greenwood
29650,Greenville
29651,Greenville
29652,Greenville
29653,Greenwood
29654,Anderson
